0,045000>0,682500
0,070000>0,582500
0,087500>0,480000
0,115000>0,372500
0,157500>0,262500
0,200000>0,177500
0,242500>0,117500
0,267500>0,095000
0,295000>0,095000
0,327500>0,132500
0,347500>0,192500
0,360000>0,270000
0,367500>0,365000
0,367500>0,465000
0,375000>0,527500
0,395000>0,547500
0,440000>0,510000
0,495000>0,427500
0,552500>0,337500
0,600000>0,290000
0,635000>0,282500
0,675000>0,310000
0,710000>0,375000
0,730000>0,447500
0,745000>0,530000
0,760000>0,622500
0,785000>0,702500
0,815000>0,770000
0,840000>0,822500
0,862500>0,852500
0,875000>0,862500
0,897500>0,837500
0,922500>0,787500
0,965000>0,685000
